472.5	0.123266601562 0.0
472.6	0.1353515625 0.0
472.7	0.362548828125 0.0
473.3	0.07734375 0.0
474.2	0.153076171875 0.0
474.3	0.116015625 0.0
474.4	0.20625 0.0
474.7	0.103125 0.0
474.9	0.0974853515625 0.0
475.2	0.12568359375 0.0
475.3	0.0797607421875 0.0
475.9	0.44794921875 0.0
476.3	0.187719726562 0.0
476.8	0.11279296875 0.0
476.8	0.1546875 0.0
477.4	0.157104492188 0.0
477.5	0.144213867187 0.0
477.8	0.120849609375 0.0
478.0	0.266674804687 0.0
478.2	0.130517578125 0.0
478.6	0.249755859375 0.0
478.7	0.158715820312 0.0
478.9	0.20947265625 0.0
479.3	0.1611328125 0.0
479.4	0.309375 0.0
479.4	0.169189453125 0.0
480.0	0.1546875 0.0
480.9	0.234448242187 0.0
480.9	0.113598632812 0.0
482.0	0.246533203125 0.0
482.1	0.120849609375 0.0
482.7	0.146630859375 0.0
483.1	0.356103515625 0.0
483.3	0.849975585938 0.0
483.4	0.11923828125 0.0
483.5	0.147436523437 0.0
484.1	0.614721679688 0.0
484.8	0.176440429687 0.0
485.5	0.1546875 0.0
485.5	0.098291015625 0.0
486.2	0.820166015625 0.0
486.2	0.36416015625 0.0
487.5	0.117626953125 0.0
489.9	0.150659179688 0.0
489.9	0.103125 0.0
490.0	0.4318359375 0.0
490.9	0.188525390625 0.0
490.9	0.1224609375 0.0
491.4	0.0451171875 0.0
491.5	0.116015625 0.0
491.6	0.17724609375 0.0
491.6	0.1353515625 0.0
492.0	0.136962890625 0.0
492.4	0.1095703125 0.0
492.7	0.306958007812 0.0
492.9	0.1095703125 0.0
494.1	0.38994140625 0.0
495.5	0.160327148437 0.0
495.6	0.57685546875 0.0
495.6	0.59296875 0.0
495.7	0.197387695312 0.0
495.9	1.47033691406 0.0
496.8	0.1482421875 0.0
497.1	0.217529296875 0.0
497.9	0.158715820312 0.0
498.2	0.141796875 0.0
498.4	0.152270507812 0.0
498.5	0.126489257813 0.0
499.3	0.095068359375 0.0
499.8	0.0749267578125 0.0
499.9	0.131323242187 0.0
500.4	0.323876953125 0.0
500.5	0.1224609375 0.0
501.2	0.258618164062 0.0
501.4	0.101513671875 0.0
501.5	0.156298828125 0.0
501.7	0.28359375 0.0
502.4	0.1353515625 0.0
502.8	0.18369140625 0.0
502.8	0.18046875 0.0
503.5	0.114404296875 0.0
503.8	0.141796875 0.0
503.8	0.227197265625 0.0
503.9	0.161938476562 0.0
504.1	0.095068359375 0.0
504.2	0.104736328125 0.0
504.5	0.296484375 0.0
505.2	0.11923828125 0.0
505.6	0.11923828125 0.0
