2661.1	0.1546875 0.0
2662.7	0.160327148437 0.0
2662.9	0.091845703125 0.0
2663.2	0.191748046875 0.0
2663.2	0.0942626953125 0.0
2664.1	0.318237304688 0.0
2664.3	0.09990234375 0.0
2664.4	0.182885742187 0.0
2665.0	0.11279296875 0.0
2665.9	0.1482421875 0.0
2667.1	0.185302734375 0.0
2667.5	0.12890625 0.0
2669.3	0.1546875 0.0
2669.6	0.807275390625 0.0
2671.2	0.228002929687 0.0
2671.3	0.0966796875 0.0
2671.5	0.133740234375 0.0
2671.8	0.124072265625 0.0
2672.2	0.195776367187 0.0
2672.4	0.169995117187 0.0
2672.5	0.202221679687 0.0
2672.7	0.0878173828125 0.0
2675.4	0.133740234375 0.0
2675.6	0.174829101562 0.0
2675.6	0.131323242187 0.0
2675.8	0.149853515625 0.0
2676.3	0.207861328125 0.0
2677.1	0.176440429687 0.0
2677.8	0.15146484375 0.0
2678.0	0.216723632812 0.0
2679.4	0.190942382812 0.0
2679.5	0.392358398437 0.0
2680.5	0.215112304687 0.0
2680.5	0.200610351562 0.0
2680.8	0.107958984375 0.0
2681.3	0.18046875 0.0
2682.0	0.120849609375 0.0
2683.1	0.18046875 0.0
2683.7	0.1224609375 0.0
2684.3	0.29326171875 0.0
2685.6	0.218334960937 0.0
2687.5	0.141796875 0.0
2688.0	0.0966796875 0.0
2688.1	0.51884765625 0.0
2689.8	0.187719726562 0.0
2692.5	0.078955078125 0.0
2692.6	0.230419921875 0.0
2692.8	0.1740234375 0.0
2693.3	0.118432617187 0.0
2694.2	0.211889648437 0.0
2694.4	0.1546875 0.0
2694.9	0.182080078125 0.0
2695.9	0.259423828125 0.0
2697.3	0.117626953125 0.0
2698.0	0.15146484375 0.0
2698.4	0.230419921875 0.0
2698.4	0.193359375 0.0
2699.5	0.27392578125 0.0
2699.7	0.120043945312 0.0
2700.4	0.13857421875 0.0
2700.9	0.193359375 0.0
2702.3	0.252978515625 0.0
2703.4	0.075732421875 0.0
2703.9	0.182080078125 0.0
2704.2	0.272314453125 0.0
2705.6	0.314208984375 0.0
2706.3	0.893481445312 0.0
2706.4	0.107958984375 0.0
2706.5	0.18046875 0.0
2706.9	0.220751953125 0.0
2707.2	0.12890625 0.0
2708.0	0.075732421875 0.0
2710.0	0.158715820312 0.0
2710.4	0.20625 0.0
2710.6	0.156298828125 0.0
2710.7	0.13212890625 0.0
2711.0	0.172412109375 0.0
2711.2	0.1546875 0.0
2711.2	0.13857421875 0.0
2712.2	0.194165039062 0.0
2713.0	0.146630859375 0.0
2713.8	0.19658203125 0.0
2715.0	0.098291015625 0.0
2715.3	0.12890625 0.0
2715.6	0.6380859375 0.0
2715.9	0.146630859375 0.0
2715.9	0.167578125 0.0
2715.9	0.498706054687 0.0
2716.1	0.244921875 0.0
2716.3	0.179663085937 0.0
2716.8	0.091845703125 0.0
2717.0	0.1611328125 0.0
2717.2	0.143408203125 0.0
2717.3	0.15791015625 0.0
2717.5	0.133740234375 0.0
2718.3	0.20625 0.0
2718.5	0.103125 0.0
2718.7	0.189331054688 0.0
2719.6	0.085400390625 0.0
2720.3	0.223974609375 0.0
2720.5	0.167578125 0.0
2721.6	0.116821289062 0.0
2721.6	0.18046875 0.0
2722.0	0.104736328125 0.0
2722.4	0.175634765625 0.0
2723.0	0.1482421875 0.0
2723.9	0.127294921875 0.0
2725.1	0.195776367187 0.0
2725.6	0.288427734375 0.0
2725.8	0.146630859375 0.0
2726.1	0.178857421875 0.0
2726.4	0.182885742187 0.0
2727.1	0.133740234375 0.0
2727.5	0.120043945312 0.0
2727.7	0.12568359375 0.0
2728.1	0.13857421875 0.0
2728.3	0.20302734375 0.0
2728.7	0.159521484375 0.0
2729.0	0.291650390625 0.0
2729.1	0.2384765625 0.0
2729.4	0.40927734375 0.0
2730.5	0.142602539063 0.0
2731.7	0.1611328125 0.0
2733.1	0.211083984375 0.0
2733.1	0.211889648437 0.0
2733.2	0.12890625 0.0
2733.2	0.2900390625 0.0
2733.4	0.292456054687 0.0
2733.5	0.2513671875 0.0
2734.5	0.140185546875 0.0
2734.7	0.1998046875 0.0
2735.4	0.2900390625 0.0
2736.0	0.169995117187 0.0
2736.1	0.141796875 0.0
2736.2	0.169995117187 0.0
2736.8	0.1353515625 0.0
2736.9	0.178051757812 0.0
2738.3	0.146630859375 0.0
2738.4	0.146630859375 0.0
2738.8	0.2578125 0.0
2739.0	0.175634765625 0.0
2739.2	0.146630859375 0.0
2739.6	0.882202148438 0.0
2739.8	0.19658203125 0.0
2741.0	0.12890625 0.0
2742.3	0.210278320312 0.0
2742.5	0.149047851562 0.0
2742.7	0.18046875 0.0
2743.4	0.214306640625 0.0
2743.6	0.478564453125 0.0
2744.1	0.20947265625 0.0
2744.1	0.1998046875 0.0
2744.3	0.188525390625 0.0
2744.6	0.149047851562 0.0
2745.5	0.1353515625 0.0
2745.7	0.259423828125 0.0
2746.3	0.136157226562 0.0
2746.5	0.32548828125 0.0
2746.7	0.219140625 0.0
2746.7	0.1740234375 0.0
2747.2	0.13857421875 0.0
2747.2	0.130517578125 0.0
2747.7	0.275537109375 0.0
2749.2	0.243310546875 0.0
2749.7	0.26748046875 0.0
2750.0	0.19658203125 0.0
2750.5	0.1740234375 0.0
2752.2	0.127294921875 0.0
2753.7	0.136157226562 0.0
2753.8	0.26748046875 0.0
2754.0	0.17724609375 0.0
2754.1	0.120043945312 0.0
2754.7	0.167578125 0.0
2754.8	0.28681640625 0.0
2756.3	0.194970703125 0.0
2756.4	0.202221679687 0.0
2756.7	0.130517578125 0.0
2756.9	0.13857421875 0.0
2757.7	0.532543945312 0.0
2759.5	0.15146484375 0.0
