5539.4	2113	0
5592.2	1581	0
5637.0	2486	0
5687.1	1545	0
5811.3	2135	0
5884.8	2078	0
5933.8	2233	0
6125.9	1525	0
6126.9	1494	0
6371.8	2096	0
6381.2	2006	0
6416.5	2756	0
42.4	1756	0
78.8	1074	0
110.1	2042	0
163.5	1713	0
166.8	2148	0
321.6	1696	0
322.7	2532	0
501.9	2351	0
635.0	1056	0
675.7	1450	0
717.7	1979	0
734.1	1417	0
758.6	471	0
762.5	712	0
829.8	682	0
850.3	465	0
962.5	2409	0
985.0	2056	0
1089.8	1817	0
1128.6	1464	0
1263.9	2037	0
1338.7	1658	0
1429.9	2155	0
1487.9	1600	0
1505.9	2305	0
1526.6	1912	0
1601.7	2066	0
1646.2	1124	0
1679.6	1922	0
1897.8	1827	0
1931.5	1605	0
1940.5	2182	0
2073.5	1331	0
2085.0	1867	0
2162.2	2235	0
2187.2	1953	0
2209.3	1586	0
2304.8	1629	0
2364.5	2153	0
2382.2	1819	0
2408.9	2477	0
2502.0	1891	0
2558.1	1680	0
2583.9	1588	0
2814.1	1415	0
2896.8	1853	0
2932.0	1496	0
2968.4	1740	0
3021.5	1779	0
3058.9	2229	0
3135.5	1722	0
3149.6	1554	0
3258.7	1065	0
3361.5	1560	0
3577.9	1324	0
3616.1	470	0
3861.4	1489	0
3885.1	1273	0
3911.8	1141	0
3917.0	2027	0
3923.3	1216	0
3924.1	1725	0
4028.4	1821	0
4053.9	1701	0
4056.1	1295	0
4105.0	1508	0
4110.9	625	0
4115.5	2072	0
4173.2	2164	0
4174.8	1850	0
4241.9	2449	0
4388.2	1477	0
4425.6	2359	0
4425.9	2073	0
4570.1	1827	0
4663.2	1377	0
4737.8	683	0
4768.5	1624	0
4785.0	2271	0
4870.0	2591	0
4925.9	2399	0
4976.7	867	0
5135.3	1490	0
5144.2	2273	0
5286.0	864	0
5308.2	1769	0
5460.2	2833	0
5486.0	1190	0
5691.8	2647	0
5737.6	1189	0
5952.6	733	0
6139.0	2501	0
6156.3	1260	0
6208.2	1919	0
6231.5	908	0
6250.0	678	0
6363.1	2301	0
6423.7	1874	0
6521.4	2242	0
233.5	1128	0
286.2	2008	0
295.4	1759	0
337.7	1509	0
484.1	1994	0
511.5	1517	0
753.4	1914	0
767.7	2092	0
905.3	1630	0
1061.5	1911	0
1108.5	2003	0
1155.8	1344	0
1157.2	1957	0
1170.6	1069	0
1186.6	1763	0
1232.9	1719	0
1306.1	2544	0
1408.8	644	0
1459.5	2607	0
1642.8	1149	0
1663.5	2358	0
1787.2	1015	0
1927.0	2059	0
1993.3	2465	0
2012.8	1951	0
2033.8	1674	0
2238.1	2286	0
2312.1	2176	0
2517.4	756	0
2564.7	2087	0
2645.1	1164	0
2671.0	1466	0
2816.3	2076	0
2887.3	1433	0
2954.3	2464	0
3060.0	1012	0
3106.6	1427	0
3131.5	1759	0
3168.1	1531	0
3211.2	1452	0
3304.0	1396	0
3421.9	2005	0
3424.2	1891	0
3460.5	1819	0
3465.0	1508	0
3576.7	2366	0
3583.2	1733	0
3596.9	2062	0
3643.8	2362	0
3644.0	570	0
3652.2	1134	0
3656.9	2652	0
3662.0	2159	0
